WeaponID,No.,Name,カテゴリー,属性,攻撃力,攻撃力10-5,属性値,属性値10-5,会心率,装備スキル①,装備スキル①Lv,画像,装備スキル②,装備スキル②Lv,モンスター,画像ファイルネーム,s3Url,補足,CreatedAt,UpdatedAt
XF7CtIV2,10011,フラムエルシーカ5,片手剣,火属性,1293,1549,910,1131,0,尻上がり,1,,,,アンジャナフ,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%83%95%E3%83%A9%E3%83%A0%E3%82%A8%E3%83%AB%E3%82%B7%E3%83%BC%E3%82%AB.png,,2024/07/03 14:27:50,2024/10/22 15:26:44
iLTN9EQv,10012,雷顎剣ドネルシーカ改5,片手剣,雷属性,1197,1434,1154,1434,20,会心撃【属性】,1,,,,アンジャナフ亜種,雷顎剣ドネルシーカ.png,,,,
xXnvlO88,10013,クイーンレイピア5,片手剣,毒,1516,1817,496,516,0,体力増強,2,,,,リオレイア,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%82%AF%E3%82%A4%E3%83%BC%E3%83%B3%E3%83%AC%E3%82%A4%E3%83%94%E3%82%A2.png,,2024/07/18 0:09:36,2024/10/22 15:27:21
NI65WO51,10014,ルナティックローズ5,片手剣,毒,1675,2103,399,312,30,追い打ち【毒】,2,,,,リオレイア希少種,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%83%AB%E3%83%8A%E3%83%86%E3%82%A3%E3%83%83%E3%82%AF%E3%83%AD%E3%83%BC%E3%82%BA.png,,2024/10/13 23:34:42,2024/10/22 15:28:26
szD5f2wd,10015,ロイヤルローズ5,片手剣,毒,1756,2007,300,416,0,回避距離UP,1,,,,リオレイア亜種,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%83%AD%E3%82%A4%E3%83%A4%E3%83%AB%E3%83%AD%E3%83%BC%E3%82%BA.png,,2024/07/18 0:10:58,2024/10/22 15:27:57
orHwQzR1,10016,トリアングラー5,片手剣,氷属性,1221,1463,1142,1420,0,精霊の加護,2,,,,レイギエナ,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%83%88%E3%83%AA%E3%82%A2%E3%83%B3%E3%82%B0%E3%83%A9%E3%83%BC.png,,2024/07/03 17:37:00,2024/10/22 15:29:18
RwlW3xuu,10017,クギバット5,片手剣,無属性,1979,2371,0,0,0,火事場力,1,,,,ディアブロス,,,,,
uaDDdE1K,10018,ヒートエッジ5,片手剣,火属性,1221,1463,1141,1420,0,耳栓,1,,,,リオレウス,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%83%92%E3%83%BC%E3%83%88%E3%82%A8%E3%83%83%E3%82%B8.png,,2024/07/03 14:49:54,2024/10/22 15:29:37
LLKyndPb,10019,ブルーコロナ6,片手剣,火属性,1682,2015,605,752,0,SPスキル威力アップ,1,,,,リオレウス亜種,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%83%96%E3%83%AB%E3%83%BC%E3%82%B3%E3%83%AD%E3%83%8A.png,,2024/07/03 14:51:01,2024/10/22 15:30:01
kMRdH1pX,10020,プラチナムドーン5,片手剣,火属性,1258,1507,1082,1345,30,会心撃【属性】,2,,,,リオレウス希少種,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%83%97%E3%83%A9%E3%83%81%E3%83%8A%E3%83%A0%E3%83%89%E3%83%BC%E3%83%B3.png,,2024/10/13 21:57:58,2024/10/22 15:30:38
fQzLvxa1,10021,バルキンガロテ5,片手剣,睡眠,1596,1912,400,417,0,防御,2,,,,ラドバルキン,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%83%90%E3%83%AB%E3%82%AD%E3%83%B3%E3%82%AC%E3%83%AD%E3%83%86.png,,2024/07/04 11:49:56,2024/10/22 15:32:25
BMtKDXMM,10022,アイシクルスパイク改5,片手剣,氷属性,1191,1426,910,1131,20,回避距離UP,1,,,,ベリオロス,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%82%A2%E3%82%A4%E3%82%B7%E3%82%AF%E3%83%AB%E3%82%B9%E3%83%91%E3%82%A4%E3%82%AF%E6%94%B9.png,,2024/07/03 17:38:00,2024/10/22 15:32:40
dyJKR9Qy,10023,王牙剣【折電】1,片手剣,雷属性,1221,1463,1142,1420,0,ジャスト回避強化,1,,,,ジンオウガ,王剣シツライ.png,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E7%8E%8B%E7%89%99%E5%89%A3%E3%80%90%E6%8A%98%E9%9B%B7%E3%80%91.png,,2024/07/03 17:16:57,2024/10/22 15:43:03
UMsrLPmP,10024,フェイタルヴァイト5,片手剣,龍属性,1318,1579,1261,1568,-30,軽巧,2,,,,イビルジョー,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%83%95%E3%82%A7%E3%82%A4%E3%82%BF%E3%83%AB%E3%83%B4%E3%82%A1%E3%82%A4%E3%83%88.png,,2024/07/03 18:26:02,2024/10/22 15:47:15
vE8GaAxQ,10025,ペインフルレイザー5,片手剣,雷属性,1194,1429,913,1134,20,フルチャージ,1,,,,フルフル,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%83%9A%E3%82%A4%E3%83%B3%E3%83%95%E3%83%AB%E3%83%AC%E3%82%A4%E3%82%B6%E3%83%BC5.png,,2024/07/03 17:23:23,2024/10/22 15:47:35
JMq2Ymvs,10026,エストレモ=ダオラ5,片手剣,氷属性,1553,1861,974,1210,0,狩人の結束,1,,風圧耐性,2,クシャルダオラ,エストレモ＝ダオラ.png,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%82%A8%E3%82%B9%E3%83%88%E3%83%AC%E3%83%A2%3D%E3%83%80%E3%82%AA%E3%83%A9.png,,2024/07/03 17:41:04,2024/10/22 15:47:54
mI2JbvEf,10027,くれなゐの色扇の薄重5,片手剣,水属性,1138,1363,1156,1436,20,ジャスト回避強化,1,,,,タマミツネ,狐扇ハナノナゴリヲ.png,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%81%8F%E3%82%8C%E3%81%AA%E3%82%90%E3%81%AE%E8%89%B2%E6%89%87%E3%81%AE%E8%96%84%E9%87%8D.png,,2024/07/18 9:16:27,2024/10/22 15:48:13
A78DxWOq,10028,テオ=エンブレム5,片手剣,爆破,1684,2017,502,522,0,狩人の結束,1,,火事場力,2,テオ・テスカトル,テオ＝エンブレム.png,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%83%86%E3%82%AA%3D%E3%82%A8%E3%83%B3%E3%83%96%E3%83%AC%E3%83%A0.png,,2024/08/19 18:34:35,2024/10/22 15:49:13
J9tCOKxH,10029,禍ツ剣ノ幽鬼アフティ5,片手剣,爆破,1516,1817,496,516,0,破壊王,1,,,,マガイマガド,禍ツ剣【封】.png,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E7%A6%8D%E3%83%84%E5%89%A3%E3%83%8E%E5%B9%BD%E9%AC%BC%E3%82%A2%E3%83%95%E3%83%86%E3%82%A3.png,,2024/10/05 0:34:10,2024/10/22 15:50:23
JPgobRS4,10030,金獣棍【禁忌】5,片手剣,雷属性,1318,1579,1261,1568,-30,KO術,2,,,,ラージャン,金獣棍.png,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E9%87%91%E7%8D%A3%E6%A3%8D%E3%80%90%E7%A6%81%E5%BF%8C%E3%80%91.png,,2024/10/05 0:35:49,2024/10/22 15:50:35
pnxLFFWH,10031,討滅の尖兵5,片手剣,龍属性,1553,1861,974,1210,0,狩人の結束,1,,破壊王,2,ネルギガンテ,討滅の尖兵.png,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E8%A8%8E%E6%BB%85%E3%81%AE%E5%B0%96%E5%85%B5.png,,2024/10/13 23:32:46,2024/10/22 15:51:23
V59nSmPY,10032,レックスクロウ改5,片手剣,無属性,2198,2633,0,0,-40,凶会心,1,,,,ティガレックス,レックスクロウ.png,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%83%AC%E3%83%83%E3%82%AF%E3%82%B9%E3%82%AF%E3%83%AD%E3%82%A6%E6%94%B9.png,,,
Prfa1bBw,10033,吼剣【地咬】5,片手剣,無属性,2198,2633,0,0,-10,ジャスト巧撃,1,,,,ティガレックス亜種,,,,,
QouwkNjX,10034,雷刃5,片手剣,雷属性,1205,1444,1305,1622,0,狩人の結束,1,,力の解放,1,キリン,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E9%9B%B7%E5%88%83.png,,,
LxuQi8K2,10035,纏剣カータトルァ5,片手剣,無属性,1834,2197,0,0,10,防御の備え,1,,,,チャタカブラ,チャタクラブ.png,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E7%BA%8F%E5%89%A3%E3%82%AB%E3%83%BC%E3%82%BF%E3%83%88%E3%83%AB%E3%82%A1.png,,,
qFdcdXBP,10036,ディノバトラー6,片手剣,火属性,1318,1579,1261,1568,-30,凶会心,1,,,,ディノバルド,ディノバトラー.png,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%83%87%E3%82%A3%E3%83%8E%E3%83%90%E3%83%88%E3%83%A9%E3%83%BC.png,,,
TcxrlwsY,10037,ダーティーファニング5,片手剣,毒,1647,1973,307,319,10,ロックオン,1,,,,ドスフロギィ,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%83%80%E3%83%BC%E3%83%86%E3%82%A3%E3%83%BC%E3%83%95%E3%82%A1%E3%83%8B%E3%83%B3%E3%82%B0.png,,,
hajhA6dS,10038,大天具・伏剣フドウ5,片手剣,無属性,1764,2113,0,0,0,グループハント強化【攻撃】,2,,,,ビシュテンゴ,天具・調伏の剣.png,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E5%A4%A7%E5%A4%A9%E5%85%B7%E3%83%BB%E4%BC%8F%E5%89%A3%E3%83%95%E3%83%89%E3%82%A6.png,,,
icNO8q0k,10039,ヒドゥンエッジ改5,片手剣,無属性,1738,2082,0,0,40,死中に活,2,,,,ナルガクルガ,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%83%92%E3%83%89%E3%82%A5%E3%83%B3%E3%82%A8%E3%83%83%E3%82%B8%E6%94%B9.png,,,
BzXd20Da,10040,ヒュドロスディスク5,片手剣,水属性,1328,1591,1074,1335,20,狩人の結束,1,,弱点特効,1,ネロミェール,ヒュドロスディスク.png,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%83%92%E3%83%A5%E3%83%89%E3%83%AD%E3%82%B9%E3%83%87%E3%82%A3%E3%82%B9%E3%82%AF.png,,,
lXJz7O8j,10041,ゴルム・ソード改5,片手剣,無属性,1979,2371,0,0,0,果敢,1,,,,ガランゴルム,ゴルム・ソード.png,,,,
owOMPgth,10042,冷たき月の手斧改5,片手剣,氷属性,1020,1222,1173,1458,0,ハイチャージ【氷】,1,,,,ルナガロン,冷たき月の手斧.png,,,,
xF6PvdYc,10043,ローゼンメッサー改5,片手剣,火属性,1197,1434,1154,1434,20,破壊王【SPスキル】,2,,,,エスピナス,ローゼンメッサー.png,,,,
TxZZAWAW,10044,血宴のケルツィエ5,片手剣,龍属性,1205,1444,1305,1622,0,狩人の結束,1,,ハイチャージ【龍】,1,メル・ゼナ,,,,,
A6u6G6wA,10045,炎尾剣フォルナクス5,片手剣,火属性,1020,1222,1173,1458,0,勇猛,1,,,,ケマトリス,ケマスクチーロ.png,,,,
FSedybkN,10046,ゴシャガザクゥ5,片手剣,氷属性,1311,1570,1200,1492,-30,凶会心,1,,,,ゴシャハギ,ゴシャザクゥ.png,,,,
PVuoVrmr,10047,サルガナスレイピア改5,片手剣,雷属性,1138,1363,1156,1436,20,雷属性攻撃強化,1,,,,ライゼクス,,,,,
oC0xj6bL,10048,ナーブアルファルド改５,片手剣,無属性,2335,2335,0,0,30,攻撃活性,1,,,,セルレギオス,,,,,
ikUcYzpH,10049,カーニバル2024ソード7,片手剣,爆破,1623,,313,,0,防御,2,,,,なし,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%82%AB%E3%83%BC%E3%83%8B%E3%83%90%E3%83%AB2024%E3%82%BD%E3%83%BC%E3%83%89.png,,2024/10/13 23:36:33,2024/10/22 15:51:34
Xpy0zoOu,10050,チーフククリ5,片手剣,無属性,1596,1912,0,0,0,SPゲージ加速,1,,,,なし,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%83%81%E3%83%BC%E3%83%95%E3%82%AF%E3%82%AF%E3%83%AA.png,,2024/07/07 0:09:55,2024/10/22 15:52:06
mE6hBVAA,10051,MrBeast8,片手剣,無属性,1821,,0,,30,MrBeastチャレンジ！,1,,,,なし,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/MrBeast.png,,2024/07/28 20:43:02,2024/10/22 15:52:16
tJnxh9wH,10052,エスペラソード5,片手剣,無属性,1878,,0,,0,ロックオン,1,,,,なし,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%82%A8%E3%82%B9%E3%83%9A%E3%83%A9%E3%82%BD%E3%83%BC%E3%83%89.png,,,
EF9IFxxc,20001,デュエルツインダガー5,双剣,無属性,1596,,0,,0,毒耐性,2,,,,なし,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/200xx/%E3%83%87%E3%83%A5%E3%82%A8%E3%83%AB%E3%83%84%E3%82%A4%E3%83%B3%E3%83%80%E3%82%AC%E3%83%BC.png,,2024/07/30 0:24:16,2024/10/22 11:25:11
ZjOdmBlf,20002,アルカナリア5,双剣,無属性,1596,,0,,30,不屈,2,,,,クルルヤック,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/200xx/%E3%82%A2%E3%83%AB%E3%82%AB%E3%83%8A%E3%83%AA%E3%82%A2.png,,2024/07/30 0:26:46,2024/08/01 9:49:51
D8jwNGsH,20003,カガチノツメ5,双剣,雷属性,1293,,910,,0,回避距離UP,1,,,,トビカガチ,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/200xx/%E3%82%AB%E3%82%AC%E3%83%81%E3%83%8E%E3%83%84%E3%83%A1.png,,2024/07/30 0:28:04,2024/08/01 9:53:07
o0nJOI7f,20004,シュラムハチェット5,双剣,水属性,1293,,910,,0,背水防御,1,,,,ジュラトドス,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/200xx/%E3%82%B7%E3%83%A5%E3%83%A9%E3%83%A0%E3%83%8F%E3%83%81%E3%82%A7%E3%83%83%E3%83%88.png,,2024/07/30 0:33:33,2024/08/01 9:54:03
xUuTSwOm,20005,ジャナフサイクロン5,双剣,火属性,1293,,910,,0,尻上がり,1,,,,アンジャナフ,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/200xx/%E3%82%B8%E3%83%A3%E3%83%8A%E3%83%95%E3%82%B5%E3%82%A4%E3%82%AF%E3%83%AD%E3%83%B3.png,,2024/07/30 10:44:28,2024/08/01 9:55:55
Bq6DC39P,20006,トルネ=ジャナール6,双剣,雷属性,1197,,1154,,20,会心撃【属性】,1,,,,アンジャナフ亜種,,,,,
GylJnaXX,20007,フリーズチェーン5,双剣,氷属性,1221,,1142,,0,精霊の加護,2,,,,レイギエナ,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/200xx/%E3%83%95%E3%83%AA%E3%83%BC%E3%82%BA%E3%83%81%E3%82%A7%E3%83%BC%E3%83%B3.png,,2024/07/30 10:45:28,2024/08/01 9:56:57
weJHjzCV,20008,ブロスクラブ5,双剣,無属性,1979,,0,,0,火事場力,1,,,,ディアブロス,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/200xx/%E3%83%96%E3%83%AD%E3%82%B9%E3%82%AF%E3%83%A9%E3%83%96.png,,2024/07/30 10:46:27,2024/08/01 10:00:10
YgzoAcHx,20009,タナトスクラブ6,双剣,無属性,2218,,0,,-30,破壊王,1,,,,ディアブロス亜種,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/200xx/%E3%82%BF%E3%83%8A%E3%83%88%E3%82%B9%E3%82%AF%E3%83%A9%E3%83%96.png,,2024/07/30 10:47:54,2024/08/01 10:00:38
CToZma5F,20010,ゲキリュウノツガイ5,双剣,火属性,1258,,1082,,30,会心撃【属性】,2,,追い打ち【毒】,1,リオレウス希少種,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/200xx/%E3%82%B2%E3%82%AD%E3%83%AA%E3%83%A5%E3%82%A6%E3%83%8E%E3%83%84%E3%82%AC%E3%82%A4.png,,2024/10/14 10:17:32,2024/10/14 10:17:32
EhWKPtAa,20011,巨牛の大骨8,双剣,無属性,1764,,0,,0,体幹強化,2,,,,バフバロ,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/200xx/%E5%B7%A8%E7%89%9B%E3%81%AE%E5%A4%A7%E9%AA%A8.png,,2024/07/30 10:50:35,2024/08/01 10:04:56
EplrCtDz,20012,ニヴルブリザード改5,双剣,氷属性,1191,,910,,20,回避距離UP,1,,,,ベリオロス,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/200xx/%E3%83%8B%E3%83%B4%E3%83%AB%E3%83%96%E3%83%AA%E3%82%B6%E3%83%BC%E3%83%89%E6%94%B9.png,,2024/07/30 10:51:47,2024/07/30 10:53:40
KIXyKnMM,20013,王牙双刃【土雷】1,双剣,雷属性,1221,,1142,,0,ジャスト回避強化,1,,,,ジンオウガ,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/200xx/%E7%8E%8B%E7%89%99%E5%8F%8C%E5%88%83%E3%80%90%E5%9C%9F%E9%9B%B7%E3%80%91.png,,2024/07/30 10:57:24,2024/08/01 10:08:18
jiCBqWPB,20014,デュエルデステリオ5,双剣,雷属性,1588,,632,,0,ロックオン,1,,,,ツィツィヤック,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/200xx/%E3%83%87%E3%83%A5%E3%82%A8%E3%83%AB%E3%83%87%E3%82%B9%E3%83%86%E3%83%AA%E3%82%AA.png,,2024/07/30 10:58:28,2024/08/01 10:13:13
lhYCi3ur,20015,血吸いの鎖鎌5,双剣,無属性,1719,,0,,20,SPゲージ加速【ジャスト回避】,1,,,,オドガロン,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/200xx/%E8%A1%80%E5%90%B8%E3%81%84%E3%81%AE%E9%8E%96%E9%8E%8C.png,,2024/07/30 10:59:50,2024/08/01 10:13:55
AltHmpD9,20016,死罪【デスロウ】5,双剣,龍属性,1138,,1156,,20,超会心,1,,,,オドガロン亜種,,,,,
RuTdYjdp,20017,ラースプレデター5,双剣,龍属性,1318,,1261,,-30,連撃,2,,,,イビルジョー,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/200xx/%E3%83%A9%E3%83%BC%E3%82%B9%E3%83%97%E3%83%AC%E3%83%87%E3%82%BF%E3%83%BC.png,,2024/07/07 0:28:59,2024/07/30 22:42:29
pO5FhgLw,20018,傷刃フルスカード5,双剣,雷属性,1194,,913,,20,フルチャージ,1,,,,フルフル,,,,,
X54wHx9D,20019,ルプス＝ダオラ5,双剣,氷属性,1553,,974,,0,狩人の結束,1,,風圧耐性,2,クシャルダオラ,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/200xx/%E3%83%AB%E3%83%97%E3%82%B9%EF%BC%9D%E3%83%80%E3%82%AA%E3%83%A9.png,,2024/07/30 11:08:41,2024/07/30 11:08:41
yoSWFF7O,20020,つるぎたち研刃の切耶5,双剣,水属性,1138,,1156,,20,ジャスト回避強化,1,,,,タマミツネ,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/200xx/%E3%81%A4%E3%82%8B%E3%81%8E%E3%81%9F%E3%81%A1%E7%A0%94%E5%88%83%E3%81%AE%E5%88%87%E8%80%B6.png,,2024/07/30 11:10:19,2024/08/01 10:21:30
Fmricy36,20021,暁の双剣シルツァリ5,双剣,火属性,1588,,632,,0,ロックオン,1,,,,アケノシルム,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/200xx/%E6%9A%81%E3%81%AE%E5%8F%8C%E5%89%A3%E3%82%B7%E3%83%AB%E3%83%84%E3%82%A1%E3%83%AA.png,,2024/10/09 10:15:37,2024/10/09 10:15:37
ubsiMcbH,20022,禍ツ刃ノ幽鬼イステヤ5,双剣,爆破,1516,,496,,0,破壊王,1,,,,マガイマガド,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/200xx/%E7%A6%8D%E3%83%84%E5%88%83%E3%83%8E%E5%B9%BD%E9%AC%BC%E3%82%A4%E3%82%B9%E3%83%86%E3%83%A4.png,,2024/10/09 10:17:43,2024/10/18 10:01:19
ipyxuuFC,20023,闘神鬼【大嶽丸】5,双剣,雷属性,1318,,1261,,-30,強化持続,2,,,,ラージャン,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/200xx/%E9%97%98%E7%A5%9E%E9%AC%BC%E3%80%90%E5%A4%A7%E5%B6%BD%E4%B8%B8%E3%80%91.png,,2024/10/09 10:19:42,2024/10/09 10:19:42
RJjIzjYY,20024,残滅の爪5,双剣,龍属性,1553,,974,,0,狩人の結束,1,,破壊王,2,ネルギガンテ,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/200xx/%E6%AE%8B%E6%BB%85%E3%81%AE%E7%88%AA.png,,2024/10/14 10:24:13,2024/10/14 10:24:13
U8jD9prt,20025,スノウジェミニ5,双剣,氷属性,1588,,632,,0,ロックオン,1,,,,ウルクスス,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/200xx/%E3%82%B9%E3%83%8E%E3%82%A6%E3%82%B8%E3%82%A7%E3%83%9F%E3%83%8B.png,,,
h7aE2Rg9,20026,夢幻のメロウクロウ5,双剣,睡眠,1567,,496,,-15,回避距離UP,1,,,,イソネミクニ,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/200xx/%E5%A4%A2%E5%B9%BB%E3%81%AE%E3%83%A1%E3%83%AD%E3%82%A6%E3%82%AF%E3%83%AD%E3%82%A6.png,,,
HpUTEMCo,20027,レックスチェーン6,双剣,無属性,2198,,0,,-40,凶会心,1,,,,ティガレックス,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/200xx/%E3%83%AC%E3%83%83%E3%82%AF%E3%82%B9%E3%83%81%E3%82%A7%E3%83%BC%E3%83%B3.png,,,
GJCX0vhf,20028,カーサスチェーン6,双剣,無属性,2198,,0,,-10,強化持続,3,,,,ティガレックス亜種,,,,,
ccufF2Yv,20029,迅雷5,双剣,雷属性,1205,,1305,,0,狩人の結束,1,,力の解放,1,キリン,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/200xx/%E8%BF%85%E9%9B%B7.png,,,
H7zeGBHs,20030,青熊双鉞【足柄】5,双剣,無属性,1971,,0,,-20,SPスキル威力アップ,2,,,,アオアシラ,,,,,
OM8nOmpK,20031,爆鱗双斧バゼルホーク5,双剣,爆破,1942,,297,,-30,凶会心,1,,,,バゼルギウス,,,,,
cQy9YOqg,20032,灼炎のロガー改5,双剣,火属性,1318,,1261,,-30,凶会心,1,,,,ディノバルド,,,,,
WdnenORq,20033,双剣オオナズチ5,双剣,毒,1741,,505,,0,狩人の結束,1,,闇討ち【状態異常】,2,オオナズチ,,,,,
MQ2dE43u,20034,ザ・キッド5,双剣,毒,1647,,307,,10,ロックオン,1,,,,ドスフロギィ,,,,,
vQX3uIIW,20035,ブランハチェット7,双剣,氷属性,1293,,910,,0,勇猛,1,,,,ブラントドス,,,,,
dZgwodTI,20036,ヒドゥントマホーク6,双剣,無属性,1738,,0,,40,死中に活,2,,,,ナルガクルガ,,,,,
